# tau / ps;  MSD / pm^2;  Derivative
0.000000; 0.000000; 6950.294679
1.000000; 6950.294679; 2788.200497
2.000000; 9738.495177; 2155.232715
3.000000; 11893.727892; 2430.094306
4.000000; 14323.822198; 2336.856213
5.000000; 16660.678411; 2394.185517
6.000000; 19054.863928; 2500.490317
7.000000; 21555.354245; 2802.262787
8.000000; 24357.617032; 2609.083224
9.000000; 26966.700257; 2501.381740
10.000000; 29468.081997; 2219.867370
11.000000; 31687.949366; 3213.425115
12.000000; 34901.374482; 2846.443119
13.000000; 37747.817600; 3125.675584
14.000000; 40873.493184; 3057.015220
15.000000; 43930.508404; 2379.333047
16.000000; 46309.841451; 2518.578237
17.000000; 48828.419688; 2098.042382
18.000000; 50926.462070; 2352.857644
19.000000; 53279.319714; 2603.185776
20.000000; 55882.505490; 2421.777309
21.000000; 58304.282799; 1666.527532
22.000000; 59970.810331; 919.190658
23.000000; 60890.000989; 1417.430719
24.000000; 62307.431708; 1797.867665
25.000000; 64105.299373; 955.803338
26.000000; 65061.102711; 1358.121276
27.000000; 66419.223987; 1531.688097
28.000000; 67950.912085; 814.152230
29.000000; 68765.064315; 0.000000
